City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
481,boden,65.8252,21.6886,32.0,99,100,2.19,SE,1669822876
482,siocon,7.7061,122.1353,77.81,91,98,3.02,PH,1669822876
483,kamaishi,39.2667,141.8833,36.66,61,64,5.66,JP,1669822877
484,sibut,5.718,19.0739,84.38,34,100,1.97,CF,1669822877
485,noumea,-22.2763,166.4572,81.0,99,30,4.72,NC,1669822849
486,pomabamba,-8.8333,-77.4667,62.31,48,98,4.38,PE,1669822879
487,sao miguel do araguaia,-13.275,-50.1628,82.8,66,92,8.61,BR,1669822880
488,raga,8.4596,25.678,89.74,27,100,3.91,SS,1669822885
489,hibbing,47.4272,-92.9377,11.8,45,100,12.66,US,1669822886
490,alofi,-19.0595,-169.9187,73.29,94,82,4.61,NU,1669822886
491,sinegorye,62.0788,150.477,-20.67,99,100,6.15,RU,1669822887
492,sibolga,1.7427,98.7792,76.62,86,100,2.86,ID,1669822888
493,praia,14.9215,-23.5087,77.63,58,69,13.65,CV,1669822613
494,altoona,40.5187,-78.3947,51.24,90,100,5.01,US,1669822843
495,aleksandrovskiy zavod,50.9237,117.9374,-28.5,97,38,4.52,RU,1669822888
496,yuanping,38.7153,112.7575,13.42,20,1,4.47,CN,1669822889
497,boa viagem,-5.1275,-39.7322,91.26,40,96,1.77,BR,1669822889
498,alcaudete,37.5909,-4.0824,60.17,36,100,3.89,ES,1669822890
499,kenai,60.5544,-151.2583,-9.31,92,0,4.61,US,1669822890
500,jiangyou,31.7667,104.7167,39.4,80,99,3.06,CN,1669822891
501,port hedland,-20.3167,118.5667,82.45,74,34,9.22,AU,1669822891
502,santarem,-2.4431,-54.7083,86.13,74,40,10.36,BR,1669822891
503,brae,60.3964,-1.353,48.9,80,100,18.34,GB,1669822892
504,saurimo,-9.6608,20.3916,73.09,84,97,2.62,AO,1669822892
505,reconquista,-29.15,-59.65,99.59,20,33,3.13,AR,1669822893
506,caravelas,-17.7125,-39.2481,80.96,79,97,9.48,BR,1669822893
507,alice springs,-23.7,133.8833,60.35,48,0,6.91,AU,1669822894
508,ust-kuyga,70.0167,135.6,-12.86,96,100,9.15,RU,1669822894
509,flin flon,54.7682,-101.865,-11.67,87,65,7.23,CA,1669822895
510,colquechaca,-18.6667,-66.0167,48.31,15,1,4.63,BO,1669822895
511,nanding,36.7483,118.0558,24.19,14,99,4.18,CN,1669822896
512,razole,16.4833,81.8333,73.94,81,12,3.74,IN,1669822896
513,bondoukou,8.0333,-2.8,91.92,34,100,3.15,CI,1669822896
514,coos bay,43.3665,-124.2179,49.98,94,100,17.27,US,1669822799
515,havre-saint-pierre,50.2334,-63.5986,12.2,78,100,9.22,CA,1669822897
516,marquette,46.5333,-87.6335,25.83,71,99,17.49,US,1669822897
517,cayenne,4.9333,-52.3333,86.04,66,40,12.66,GF,1669822898
518,tayu,-6.5397,111.0518,76.89,88,100,7.05,ID,1669822898
519,marrakesh,31.6315,-8.0083,73.47,25,40,10.36,MA,1669822899
520,tommot,58.9564,126.2925,-13.74,92,100,9.69,RU,1669822899
521,trabzon,40.9167,39.8333,53.69,82,75,3.44,TR,1669822843
522,houma,29.5958,-90.7195,72.0,89,55,14.0,US,1669822899
523,ossora,59.2353,163.0719,33.22,99,100,22.03,RU,1669822900
524,ponta delgada,37.7333,-25.6667,66.51,77,75,5.75,PT,1669822900
525,pauini,-7.7136,-66.9764,94.03,42,98,6.51,BR,1669822900
526,kidal,18.4411,1.4078,86.92,11,12,2.8,ML,1669822901
527,firminopolis,-16.5819,-50.305,89.17,39,19,13.38,BR,1669822901
